cve,severity,reward,bug_tracker_id,bug_tracker_url,description,reporter,report_date,release_post_url,release_post_title,release_published,raw_line
CVE-2026-4447,High,TBD,486657483,https://issues.chromium.org/issues/486657483,Inappropriate implementation in V8,Erge,2026-02-23,https://chromereleases.googleblog.com/2026/03/stable-channel-update-for-desktop_18.html,Stable Channel Update for Desktop,2026-03-18T10:21:00.000-07:00,[TBD][486657483] High CVE-2026-4447: Inappropriate implementation in V8. Reported by Erge on 2026-02-23
CVE-2026-4450,High,TBD,487746373,https://issues.chromium.org/issues/487746373,Out of bounds write in V8,qymag1c,2026-02-26,https://chromereleases.googleblog.com/2026/03/stable-channel-update-for-desktop_18.html,Stable Channel Update for Desktop,2026-03-18T10:21:00.000-07:00,[TBD][487746373] High CVE-2026-4450: Out of bounds write in V8. Reported by qymag1c on 2026-02-26
CVE-2026-4457,High,TBD,488803413,https://issues.chromium.org/issues/488803413,Type Confusion in V8,Zhenpeng (Leo) Lin at depthfirst,2026-03-01,https://chromereleases.googleblog.com/2026/03/stable-channel-update-for-desktop_18.html,Stable Channel Update for Desktop,2026-03-18T10:21:00.000-07:00,[TBD][488803413] High CVE-2026-4457: Type Confusion in V8. Reported by Zhenpeng (Leo) Lin at depthfirst on 2026-03-01
CVE-2026-4461,High,TBD,490558172,https://issues.chromium.org/issues/490558172,Inappropriate implementation in V8,Google,2026-03-07,https://chromereleases.googleblog.com/2026/03/stable-channel-update-for-desktop_18.html,Stable Channel Update for Desktop,2026-03-18T10:21:00.000-07:00,[TBD][490558172] High CVE-2026-4461: Inappropriate implementation in V8. Reported by Google on 2026-03-07
CVE-2026-3910,High,N/A,491410818,https://issues.chromium.org/issues/491410818,Inappropriate implementation in V8,Google Threat Analysis Group,2026-03-10,https://chromereleases.googleblog.com/2026/03/stable-channel-update-for-desktop_12.html,Stable Channel Update for Desktop,2026-03-12T14:14:00.000-07:00,[N/A][491410818] High CVE-2026-3910: Inappropriate implementation in V8. Reported by Google Threat Analysis Group on 2026-03-10
CVE-2026-3926,Medium,$7000,478659010,https://issues.chromium.org/issues/478659010,Out of bounds read in V8,qymag1c,2026-01-26,https://chromereleases.googleblog.com/2026/03/stable-channel-update-for-desktop_10.html,Stable Channel Update for Desktop,2026-03-10T11:44:00.000-07:00,[$7000][478659010] Medium CVE-2026-3926: Out of bounds read in V8. Reported by qymag1c on 2026-01-26
CVE-2026-3543,High,TBD,485267831,https://issues.chromium.org/issues/485267831,Inappropriate implementation in V8,qymag1c,2026-02-18,https://chromereleases.googleblog.com/2026/03/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2026-03-03T11:07:00.000-08:00,[TBD][485267831] High CVE-2026-3543: Inappropriate implementation in V8. Reported by qymag1c on 2026-02-18
CVE-2026-2649,High,TBD,481074858,https://issues.chromium.org/issues/481074858,Integer overflow in V8,JunYoung Park(@candymate) of KAIST Hacking Lab,2026-02-03,https://chromereleases.googleblog.com/2026/02/stable-channel-update-for-desktop_18.html,Stable Channel Update for Desktop,2026-02-18T13:13:00.000-08:00,[TBD][481074858] High CVE-2026-2649: Integer overflow in V8. Reported by JunYoung Park(@candymate) of KAIST Hacking Lab on 2026-02-03
CVE-2026-1862,High,TBD,479726070,https://issues.chromium.org/issues/479726070,Type Confusion in V8,Chaoyuan Peng (@ret2happy),2026-01-29,https://chromereleases.googleblog.com/2026/02/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2026-02-03T12:43:00.000-08:00,[TBD][479726070] High CVE-2026-1862: Type Confusion in V8. Reported by Chaoyuan Peng (@ret2happy) on 2026-01-29
CVE-2026-1220,High,TBD,473851441,https://issues.chromium.org/issues/473851441,Race in V8,@p1nky4745,2026-01-07,https://chromereleases.googleblog.com/2026/01/stable-channel-update-for-desktop_20.html,Stable Channel Update for Desktop,2026-01-20T14:15:00.000-08:00,[TBD][473851441] High CVE-2026-1220: Race in V8. Reported by @p1nky4745 on 2026-01-07
CVE-2026-0899,High,$8000,458914193,https://issues.chromium.org/issues/458914193,Out of bounds memory access in V8,@p1nky4745,2025-11-08,https://chromereleases.googleblog.com/2026/01/stable-channel-update-for-desktop_13.html,Stable Channel Update for Desktop,2026-01-13T13:47:00.000-08:00,[$8000][458914193] High CVE-2026-0899: Out of bounds memory access in V8. Reported by @p1nky4745 on 2025-11-08
CVE-2026-0900,High,TBD,465730465,https://issues.chromium.org/issues/465730465,Inappropriate implementation in V8,Google,2025-12-03,https://chromereleases.googleblog.com/2026/01/stable-channel-update-for-desktop_13.html,Stable Channel Update for Desktop,2026-01-13T13:47:00.000-08:00,[TBD][465730465] High CVE-2026-0900: Inappropriate implementation in V8. Reported by Google on 2025-12-03
CVE-2026-0902,Medium,$4000,469143679,https://issues.chromium.org/issues/469143679,Inappropriate implementation in V8,303f06e3,2025-12-16,https://chromereleases.googleblog.com/2026/01/stable-channel-update-for-desktop_13.html,Stable Channel Update for Desktop,2026-01-13T13:47:00.000-08:00,[$4000][469143679] Medium CVE-2026-0902: Inappropriate implementation in V8. Reported by 303f06e3 on 2025-12-16
CVE-2025-14766,High,TBD,466786677,https://issues.chromium.org/issues/466786677,Out of bounds read and write in V8,Shaheen Fazim,2025-12-08,https://chromereleases.googleblog.com/2025/12/stable-channel-update-for-desktop_16.html,Stable Channel Update for Desktop,2025-12-16T11:42:00.000-08:00,[TBD][466786677] High CVE-2025-14766: Out of bounds read and write in V8. Reported by Shaheen Fazim on 2025-12-08
CVE-2025-13630,High,$11000,456547591,https://issues.chromium.org/issues/456547591,Type Confusion in V8,Shreyas Penkar (@streypaws),2025-10-31,https://chromereleases.googleblog.com/2025/12/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2025-12-02T10:39:00.000-08:00,[$11000][456547591] High CVE-2025-13630: Type Confusion in V8. Reported by Shreyas Penkar (@streypaws) on 2025-10-31
CVE-2025-13223,High,N/A,460017370,https://issues.chromium.org/issues/460017370,Type Confusion in V8,Google Threat Analysis Group,2025-11-12,https://chromereleases.googleblog.com/2025/11/stable-channel-update-for-desktop_17.html,Stable Channel Update for Desktop,2025-11-17T13:00:00.000-08:00,[N/A][460017370] High CVE-2025-13223: Type Confusion in V8. Reported by Google Threat Analysis Group on 2025-11-12
CVE-2025-13224,High,N/A,450328966,https://issues.chromium.org/issues/450328966,Type Confusion in V8,Google Big Sleep,2025-10-09,https://chromereleases.googleblog.com/2025/11/stable-channel-update-for-desktop_17.html,Stable Channel Update for Desktop,2025-11-17T13:00:00.000-08:00,[N/A][450328966] High CVE-2025-13224: Type Confusion in V8. Reported by Google Big Sleep on 2025-10-09
CVE-2025-13042,High,TBD,457351015,https://issues.chromium.org/issues/457351015,Inappropriate implementation in V8,303f06e3,2025-11-03,https://chromereleases.googleblog.com/2025/11/stable-channel-update-for-desktop_11.html,Stable Channel Update for Desktop,2025-11-11T10:45:00.000-08:00,[TBD][457351015] High CVE-2025-13042: Inappropriate implementation in V8. Reported by 303f06e3 on 2025-11-03
CVE-2025-12727,High,TBD,454485895,https://issues.chromium.org/issues/454485895,Inappropriate implementation in V8,303f06e3,2025-10-23,https://chromereleases.googleblog.com/2025/11/stable-channel-update-for-desktop.html,Stable Channel Update for Desktop,2025-11-05T12:43:00.000-08:00,[TBD][454485895] High CVE-2025-12727: Inappropriate implementation in V8. Reported by 303f06e3 on 2025-10-23
